Timestamp,Value
2017-12-05,7.828182309000001
2017-12-06,11.962975148599996
2017-12-07,12.006015173299994
2017-12-08,12.046069574599995
2017-12-09,12.073108663499998
2017-12-10,12.088322999600004
2017-12-11,12.113811413499997
2017-12-12,12.153049682899999
2017-12-13,12.195614078900002
2017-12-14,12.234739833400004
2017-12-15,12.271002407200005
2017-12-16,12.29676790300001
2017-12-17,12.311890162100005
2017-12-18,12.342428726999994
2017-12-19,12.390795144399998
2017-12-20,12.434898475799995
2017-12-21,12.476031065599999
2017-12-22,12.515161008600005
2017-12-23,12.541007183199998
2017-12-24,12.554661275899997
2017-12-25,12.569784433699995
2017-12-26,12.591043909699998
2017-12-27,12.617957821000003
2017-12-28,12.645118955300001
2017-12-29,12.672928921899995
2017-12-30,12.6948134861
2017-12-31,12.709418124900001
2018-01-01,12.723506897799998
2018-01-02,12.748073494699996
2018-01-03,12.783899089999998
2018-01-04,12.820881094499999
2018-01-05,12.857720762700001
2018-01-06,12.880692774
2018-01-07,12.894131722900001
2018-01-08,12.921081505099995
2018-01-09,12.959558280299998
2018-01-10,12.996842435699998
2018-01-11,13.033833052200002
2018-01-12,13.070026104699998
2018-01-13,13.095228526600001
2018-01-14,13.109773405599999
2018-01-15,13.137134161199999
2018-01-16,13.1757859433
2018-01-17,13.213591623899996
2018-01-18,13.253158627700005
2018-01-19,13.290640578600005
2018-01-20,13.316073000599989
2018-01-21,13.331025753099995
2018-01-22,13.358551833900005
2018-01-23,13.398104194
2018-01-24,13.4353708083
2018-01-25,13.471661022200003
2018-01-26,13.508154669200007
2018-01-27,13.535763637299999
2018-01-28,13.550664580499998
2018-01-29,13.5792045039
2018-01-30,13.614669747600004
2018-01-31,13.6516855692
2018-02-01,13.688911597500002
2018-02-02,13.7280525577
2018-02-03,13.75483063799999
2018-02-04,13.770296673900003
2018-02-05,13.8003771281
2018-02-06,13.840475107100001
2018-02-07,13.880381042599996
2018-02-08,13.9216368628
2018-02-09,13.961245623499995
2018-02-10,13.9879495225
2018-02-11,14.003978615399998
2018-02-12,14.033949005199998
2018-02-13,14.073677200799995
2018-02-14,14.114481642999994
2018-02-15,14.155302644899997
2018-02-16,14.193510547900003
2018-02-17,14.217901083199992
2018-02-18,14.235876280500007
2018-02-19,14.267240820799998
2018-02-20,14.3075177547
2018-02-21,14.349897029999997
2018-02-22,14.393093983700002
2018-02-23,14.434742385200003
2018-02-24,14.462885275599994
2018-02-25,14.479755161199996
2018-02-26,14.510560856700003
2018-02-27,14.561493260800004
2018-02-28,14.615851250300002
2018-03-01,14.6680108408
2018-03-02,14.712782538099999
2018-03-03,14.7423821861
2018-03-04,14.760589823600004
2018-03-05,14.792422455599993
2018-03-06,14.832956482999998
2018-03-07,14.869285517199996
2018-03-08,14.905058260200006
2018-03-09,14.9368851424
2018-03-10,14.960901835999993
2018-03-11,14.977386444499997
2018-03-12,15.000622491099998
2018-03-13,15.0369286162
2018-03-14,15.071606008699998
2018-03-15,15.1052116185
2018-03-16,14.981806046199992
2018-03-17,15.163615432699997
2018-03-18,15.179586749599999
2018-03-19,15.205638530499995
2018-03-20,15.241700664400005
2018-03-21,15.279505929200003
2018-03-22,15.3151089618
2018-03-23,15.3475469642
2018-03-24,15.370135234400005
2018-03-25,14.742193999700001
2018-03-26,15.406737697900006
2018-03-27,15.43978095169999
2018-03-28,15.471842327399992
2018-03-29,15.500433468799994
2018-03-30,15.531030803199998
2018-03-31,15.554118794700006
2018-04-01,15.567813812800003
2018-04-02,15.585059778500003
2018-04-03,15.610925545200002
2018-04-04,15.6421661746
2018-04-05,15.6721783977
2018-04-06,15.701611961500005
2018-04-07,15.723808423000001
2018-04-08,15.738795237600002
2018-04-09,15.597566860000006
2018-04-10,15.792032720299993
2018-04-11,15.822239701200003
2018-04-12,15.852680073999998
2018-04-13,15.881992531699991
2018-04-14,15.904615241099998
2018-04-15,15.921057257800005
2018-04-16,15.9460057835
2018-04-17,15.977177003399994
2018-04-18,16.0069448153
2018-04-19,16.0382907241
2018-04-20,16.069667609499994
2018-04-21,16.094593300699998
2018-04-22,16.113490075899993
2018-04-23,16.138049396300005
2018-04-24,16.169689662800007
2018-04-25,16.202455996099996
2018-04-26,16.235338884700006
2018-04-27,16.095494691900004
2018-04-28,16.290847155800005
2018-04-29,16.310158298500003
2018-04-30,16.331921897900006
2018-05-01,16.352367351399998
2018-05-02,16.373143123199995
2018-05-03,16.400610058000005
2018-05-04,16.428339363099997
2018-05-05,16.450848474300003
2018-05-06,16.4676152209
2018-05-07,16.4906553048
2018-05-08,16.5126491847
2018-05-09,16.5333883063
2018-05-10,16.554595058700006
2018-05-11,16.570679317199996
2018-05-12,16.586924978299997
2018-05-13,16.602199282399994
2018-05-14,16.62372918719999
2018-05-15,16.652283924500004
2018-05-16,16.680931020500008
2018-05-17,16.7098576231
2018-05-18,16.739196910199993
2018-05-19,16.761906892499994
2018-05-20,16.777854340899996
2018-05-21,16.798703042999996
2018-05-22,16.6516647634
2018-05-23,16.681808435799994
2018-05-24,16.888356331100002
2018-05-25,16.920425254900007
2018-05-26,16.945301624599995
2018-05-27,16.964052544499992
2018-05-28,16.9896666574
2018-05-29,17.023725490599997
2018-05-30,17.056081154199997
2018-05-31,17.088760235
2018-06-01,17.118003382699996
2018-06-02,17.1412324504
2018-06-03,17.159162311700005
2018-06-04,17.184192540100003
2018-06-05,17.217618893399997
2018-06-06,17.24862328890001
2018-06-07,17.2787375728
2018-06-08,17.308539872600008
2018-06-09,17.331162917800008
2018-06-10,17.347328400099997
